country,graph_type,voltage_group,n_nodes,n_branches_original,n_branches,branches_removed,fraction_removed,mean_degree,C,gamma,r2
Portugal,complete,400 kV,50,79,79,0,0.0,3.16,1.5237283248893232,2.7642955691647524,0.960242629921379
Portugal,simple,All,145,314,219,95,0.30254777070063693,3.0206896551724136,1.5123130368017008,2.463859259068011,0.9948076891110041
Portugal,simple,150 kV,57,100,70,30,0.3,2.456140350877193,1.626313941781019,2.002725633615233,0.9906878523700741
Portugal,simple,220 kV,67,135,93,42,0.3111111111111111,2.7761194029850746,1.6741845437467566,2.228167108644276,0.9683519321447562
Portugal,simple,400 kV,50,79,69,10,0.12658227848101267,2.76,1.5959760484616992,2.3868466480709225,0.9701889191768156
Slovakia,complete,All,249,457,457,0,0.0,3.6706827309236947,1.501668028932032,2.717412620593576,0.9661457495905778
Slovakia,complete,110 kV,242,412,412,0,0.0,3.4049586776859506,1.5352040464884875,2.6050694105871384,0.9669818034912129
Slovakia,complete,220 kV,8,8,8,0,0.0,2.0,1.90674874810705,1.6059575823426164,0.9799622361978649
Slovakia,complete,400 kV,25,37,37,0,0.0,2.96,1.6567819627944305,2.3679943510368786,0.9548132280987122
Slovakia,simple,All,249,457,368,89,0.19474835886214442,2.9558232931726907,1.6526062961484165,2.149260680561487,0.969691710606737
Slovakia,simple,110 kV,242,412,334,78,0.18932038834951456,2.760330578512397,1.691849751130341,2.06843946631985,0.9704616713706359
Slovakia,simple,220 kV,8,8,6,2,0.25,1.5,2.727225431916253,0.9980652728753207,0.9996171547210276
Slovakia,simple,400 kV,25,37,31,6,0.16216216216216217,2.48,1.7684604636133083,1.989526979248509,0.9480500642236755
Slovenia,complete,All,136,233,233,0,0.0,3.426470588235294,1.6097007263394807,2.449494137482434,0.9486814790864818
Slovenia,complete,110 kV,136,218,218,0,0.0,3.2058823529411766,1.639299313550823,2.3825644660553027,0.9547048271280352
Slovenia,complete,220 kV,5,4,4,0,0.0,1.6,1.6666666666660677,1.9576151889744804,1.0
Slovenia,complete,400 kV,8,11,11,0,0.0,2.75,1.5867335457843426,2.3727948371764973,0.9761370868326019
Slovenia,simple,All,136,233,189,44,0.1888412017167382,2.7794117647058822,1.7453140721703595,2.0297781650580906,0.9496924216163849
Slovenia,simple,110 kV,136,218,182,36,0.1651376146788991,2.676470588235294,1.7717613231204967,1.98691730099195,0.9511975346459621
Slovenia,simple,220 kV,5,4,4,0,0.0,1.6,1.6666666666660677,1.9576151889744804,1.0
Slovenia,simple,400 kV,8,11,8,3,0.2727272727272727,2.0,1.7996925886792614,1.6755462827405243,0.9769640064272261
