graph_type,voltage_class,european_n,mean_A,mean_gamma,degree_k,ccdf_P_K_ge_k,probability_P_K_eq_k,percentage_P_K_eq_k,remaining_probability_above_max_k
simple,<200 kV,15,0.7836102468533486,1.3178325100201402,14,8.69910971428467e-05,4.6260319664482473e-05,0.004626031966448247,
simple,<200 kV,15,0.7836102468533486,1.3178325100201402,15,4.0730777478364225e-05,2.165990369379965e-05,0.002165990369379965,
simple,<200 kV,15,0.7836102468533486,1.3178325100201402,16,1.9070873784564576e-05,1.0141551797033537e-05,0.0010141551797033536,
simple,<200 kV,15,0.7836102468533486,1.3178325100201402,17,8.92932198753104e-06,4.748454762583082e-06,0.0004748454762583082,
simple,<200 kV,15,0.7836102468533486,1.3178325100201402,18,4.1808672249479575e-06,2.2233108979331224e-06,0.00022233108979331225,
simple,<200 kV,15,0.7836102468533486,1.3178325100201402,19,1.957556327014835e-06,1.0409936697342023e-06,0.00010409936697342023,9.165626572806329e-07
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,1,1.0,0.34455772470132784,34.455772470132786,
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,2,0.6554422752986722,0.33574490930167306,33.57449093016731,
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,3,0.3196973659969991,0.163762343681196,16.3762343681196,
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,4,0.1559350223158031,0.07987643137683914,7.987643137683914,
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,5,0.07605859093896397,0.038960387022303554,3.8960387022303555,
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,6,0.03709820391666042,0.019003249528844295,1.9003249528844295,
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,7,0.018094954387816123,0.00926899141039819,0.926899141039819,
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,8,0.008825962977417933,0.004521026871516337,0.45210268715163376,
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,9,0.004304936105901595,0.002205168077946767,0.2205168077946767,
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,10,0.0020997680279548282,0.0010755888850455951,0.10755888850455951,
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,11,0.0010241791429092331,0.0005246273339449064,0.05246273339449064,
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,12,0.0004995518089643267,0.0002558913013595087,0.02558913013595087,
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,13,0.00024366050760481802,0.00012481308897705924,0.012481308897705923,
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,14,0.00011884741862775878,6.087861172783222e-05,0.006087861172783222,
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,15,5.7968806899926566e-05,2.9694044080500088e-05,0.002969404408050009,
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,16,2.827476281942648e-05,1.4483514469689704e-05,0.0014483514469689704,
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,17,1.3791248349736774e-05,7.064453424566283e-06,0.0007064453424566284,
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,18,6.726794925170491e-06,3.445745319087288e-06,0.0003445745319087288,
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,19,3.2810496060832025e-06,1.6806906480158296e-06,0.00016806906480158296,
simple,200-299 kV,12,0.6554422752986722,1.3928829416738973,20,1.600358958067373e-06,8.197707006030507e-07,8.197707006030507e-05,7.805882574643222e-07
simple,300-349 kV,3,0.9127632046088255,1.0226388716518002,1,1.0,0.08723679539117446,8.723679539117446,
simple,300-349 kV,3,0.9127632046088255,1.0226388716518002,2,0.9127632046088255,0.5694599480733273,56.94599480733273,
simple,300-349 kV,3,0.9127632046088255,1.0226388716518002,3,0.34330325653549815,0.21418200651930475,21.418200651930476,
simple,300-349 kV,3,0.9127632046088255,1.0226388716518002,4,0.1291212500161934,0.0805569067180972,8.055690671809721,
simple,300-349 kV,3,0.9127632046088255,1.0226388716518002,5,0.048564343298096196,0.03029860129451772,3.029860129451772,
simple,300-349 kV,3,0.9127632046088255,1.0226388716518002,6,0.018265742003578476,0.011395735980983493,1.1395735980983492,
simple,300-349 kV,3,0.9127632046088255,1.0226388716518002,7,0.006870006022594982,0.004286098796639156,0.4286098796639156,
simple,300-349 kV,3,0.9127632046088255,1.0226388716518002,8,0.0025839072259558264,0.001612062873798356,0.1612062873798356,
simple,300-349 kV,3,0.9127632046088255,1.0226388716518002,9,0.0009718443521574704,0.0006063198335784432,0.06063198335784432,
simple,300-349 kV,3,0.9127632046088255,1.0226388716518002,10,0.00036552451857902726,0.00022804553505062305,0.022804553505062306,
simple,300-349 kV,3,0.9127632046088255,1.0226388716518002,11,0.00013747898352840421,8.577117748168907e-05,0.008577117748168907,
simple,300-349 kV,3,0.9127632046088255,1.0226388716518002,12,5.170780604671515e-05,3.225976288008597e-05,0.003225976288008597,
simple,300-349 kV,3,0.9127632046088255,1.0226388716518002,13,1.9448043166629177e-05,1.2133356817930389e-05,0.001213335681793039,
simple,300-349 kV,3,0.9127632046088255,1.0226388716518002,14,7.314686348698788e-06,4.56352851130521e-06,0.00045635285113052097,
simple,300-349 kV,3,0.9127632046088255,1.0226388716518002,15,2.7511578373935784e-06,1.7164081454127968e-06,0.00017164081454127967,
simple,300-349 kV,3,0.9127632046088255,1.0226388716518002,16,1.0347496919807815e-06,6.455655781137625e-07,6.455655781137626e-05,3.89184113867019e-07
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,1,1.0,0.30915873216746126,30.915873216746125,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,2,0.6908412678325387,0.333909830735625,33.3909830735625,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,3,0.3569314370969137,0.1725185238559663,17.25185238559663,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,4,0.1844129132409474,0.08913376706481684,8.913376706481683,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,5,0.09527914617613058,0.046052031130280655,4.6052031130280655,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,6,0.04922711504584992,0.023793334906199247,2.3793334906199246,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,7,0.025433780139650676,0.012293112205127384,1.2293112205127383,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,8,0.013140667934523292,0.006351384044465249,0.6351384044465249,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,9,0.006789283890058043,0.003281518838123192,0.3281518838123192,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,10,0.003507765051934851,0.001695436114328693,0.1695436114328693,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,11,0.0018123289376061578,0.0008759674283674055,0.08759674283674056,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,12,0.0009363615092387523,0.0004525790910525857,0.04525790910525857,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,13,0.0004837824181861666,0.00023383042225637817,0.023383042225637817,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,14,0.00024995199592978845,0.00012081129564653982,0.012081129564653983,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,15,0.00012914070028324863,6.241860667639269e-05,0.006241860667639269,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,16,6.672209360685594e-05,3.224932270258107e-05,0.003224932270258107,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,17,3.447277090427487e-05,1.6661999845128873e-05,0.0016661999845128872,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,18,1.7810771059145996e-05,8.608622308116105e-06,0.0008608622308116105,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,19,9.202148751029892e-06,4.4477480934234865e-06,0.00044477480934234867,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,20,4.754400657606405e-06,2.297982463918935e-06,0.00022979824639189349,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,21,2.4564181936874703e-06,1.1872802356516375e-06,0.00011872802356516376,
simple,>=350 kV,9,0.6908412678325387,1.514310904435221,22,1.2691379580358328e-06,6.134225913826358e-07,6.134225913826358e-05,6.557153666531969e-07
