system,graph_type,voltage,voltage_label,voltage_class,A,gamma,degree,fitted_ccdf,probability_mass,cumulative_probability_mass,remaining_tail_probability
Estonia,simple,330.0,330 kV,300-349 kV,0.9999999999999134,1.2852902598788822,9,0.004312486603752584,0.002331727208527402,0.9980192406047748,8.276969984440769e-07
Estonia,simple,330.0,330 kV,300-349 kV,0.9999999999999134,1.2852902598788822,10,0.0019807593952251823,0.0010709808515982154,0.9990902214563729,8.276969984440769e-07
Estonia,simple,330.0,330 kV,300-349 kV,0.9999999999999134,1.2852902598788822,11,0.000909778543626967,0.0004919100228771723,0.9995821314792501,8.276969984440769e-07
Estonia,simple,330.0,330 kV,300-349 kV,0.9999999999999134,1.2852902598788822,12,0.00041786852074979474,0.00022593818577234335,0.9998080696650224,8.276969984440769e-07
Estonia,simple,330.0,330 kV,300-349 kV,0.9999999999999134,1.2852902598788822,13,0.0001919303349774514,0.00010377520565960166,0.9999118448706821,8.276969984440769e-07
Estonia,simple,330.0,330 kV,300-349 kV,0.9999999999999134,1.2852902598788822,14,8.815512931784974e-05,4.766477730570013e-05,0.9999595096479877,8.276969984440769e-07
Estonia,simple,330.0,330 kV,300-349 kV,0.9999999999999134,1.2852902598788822,15,4.049035201214961e-05,2.1892811304602496e-05,0.9999814024592923,8.276969984440769e-07
Estonia,simple,330.0,330 kV,300-349 kV,0.9999999999999134,1.2852902598788822,16,1.859754070754711e-05,1.0055542350380693e-05,0.9999914580016427,8.276969984440769e-07
Estonia,simple,330.0,330 kV,300-349 kV,0.9999999999999134,1.2852902598788822,17,8.541998357166418e-06,4.618590575393246e-06,0.9999960765922181,8.276969984440769e-07
Estonia,simple,330.0,330 kV,300-349 kV,0.9999999999999134,1.2852902598788822,18,3.923407781773171e-06,2.1213553839096153e-06,0.999998197947602,8.276969984440769e-07
Estonia,simple,330.0,330 kV,300-349 kV,0.9999999999999134,1.2852902598788822,19,1.8020523978635563e-06,9.743553994194796e-07,0.9999991723030015,8.276969984440769e-07
Hungary,simple,120.0,<200 kV,<200 kV,0.748470429081274,1.2827410606722338,1,1.0,0.25152957091872596,0.25152957091872596,6.02502669313459e-07
Hungary,simple,120.0,<200 kV,<200 kV,0.748470429081274,1.2827410606722338,2,0.748470429081274,0.40522314514912083,0.6567527160678468,6.02502669313459e-07
Hungary,simple,120.0,<200 kV,<200 kV,0.748470429081274,1.2827410606722338,3,0.3432472839321532,0.18583465499046037,0.8425873710583072,6.02502669313459e-07
Hungary,simple,120.0,<200 kV,<200 kV,0.748470429081274,1.2827410606722338,4,0.15741262894169283,0.0852234612184229,0.9278108322767301,6.02502669313459e-07
Hungary,simple,120.0,<200 kV,<200 kV,0.748470429081274,1.2827410606722338,5,0.07218916772326993,0.03908333643378231,0.9668941687105124,6.02502669313459e-07
Hungary,simple,120.0,<200 kV,<200 kV,0.748470429081274,1.2827410606722338,6,0.03310583128948762,0.01792355256355175,0.9848177212740641,6.02502669313459e-07
Hungary,simple,120.0,<200 kV,<200 kV,0.748470429081274,1.2827410606722338,7,0.015182278725935866,0.008219711155998483,0.9930374324300626,6.02502669313459e-07
Hungary,simple,120.0,<200 kV,<200 kV,0.748470429081274,1.2827410606722338,8,0.006962567569937382,0.0037695457554234673,0.996806978185486,6.02502669313459e-07
